company_name,website,industry_family,industry_detail,country,region,employee_band,fit_reason
ABB,https://global.abb,industrial automation,Industrial Automation and Electrification,Switzerland,Europe,100000+,large industrial automation vendor undergoing digital platform investment
Siemens,https://siemens.com,industrial automation,Industrial Technology and Automation,Germany,Europe,100000+,scale and public digital-transformation programs across manufacturing
Rockwell Automation,https://rockwellautomation.com,industrial automation,Industrial Automation,United States,United States,20000-100000,core ICP fit on industrial automation and plant operations
Schneider Electric,https://se.com,industrial automation,Energy Management and Automation,France,Europe,100000+,active in automation investment and sustainability-linked transformation
Honeywell,https://honeywell.com,industrial automation,Industrial Technology,United States,United States,20000-100000,diversified industrial technology with active AI hiring signals
Emerson Electric,https://emerson.com,industrial automation,Automation and Process Control,United States,United States,20000-100000,automation and process control vendor within size range
Robert Bosch GmbH,https://bosch.com,manufacturing,Industrial Technology and Manufacturing,Germany,Europe,100000+,manufacturing and automation scale fits ICP employee range
Johnson Controls,https://johnsoncontrols.com,industrial automation,Building and Industrial Automation,Ireland,Europe,100000+,building/industrial automation with digital transformation programs
GE Vernova,https://gevernova.com,manufacturing,Energy and Industrial Equipment,United States,United States,20000-100000,recently spun out with plausible new-leadership and transformation signals
Tata Steel,https://tatasteel.com,manufacturing,Steel Manufacturing,India,India,20000-100000,large India-based manufacturer aligned with target geography
Mahindra & Mahindra,https://mahindra.com,manufacturing,Manufacturing and Automotive,India,India,100000+,India-based manufacturing conglomerate with digital initiatives
Illinois Tool Works,https://itw.com,manufacturing,Diversified Industrial Manufacturing,United States,United States,20000-100000,decentralized multi-segment manufacturer with active automation and data-platform modernization needs
